observation_date,GDPC1_PCH,PCE,UNRATE_PCH,FEDFUNDS_PCH,PCE_PCH,FEDFUNDS,UNRATE,GDPC1
1961/1/1,0.7,334.5,8.5,-12.8,0.1,2,6.8,3255.914
1961/4/1,1.7,339.5,2.9,-13.5,1.5,1.73,7,3311.181
1961/7/1,1.9,342.4,-3.3,-2.9,0.9,1.68,6.8,3374.742
1961/10/1,2,349.6,-8.4,42.6,2.1,2.4,6.2,3440.924
1962/1/1,1.8,354.9,-9.1,2.4,1.5,2.46,5.6,3502.298
1962/4/1,0.9,360.5,-1.8,6.1,1.6,2.61,5.5,3533.947
1962/7/1,1.2,364.4,0.6,9.2,1.1,2.85,5.6,3577.362
1962/10/1,0.3,370.6,-0.6,2.7,1.7,2.92,5.5,3589.128
1963/1/1,1.1,374.3,4.2,1.5,1,2.97,5.8,3628.306
1963/4/1,1.1,378.4,-0.6,-0.1,1.1,2.96,5.7,3669.02
1963/7/1,2.2,385.4,-4.1,12.4,1.8,3.33,5.5,3749.681
1963/10/1,0.7,390,1.2,3.7,1.2,3.45,5.6,3774.264
1964/1/1,2.1,399.6,-1.8,0.3,2.5,3.46,5.5,3853.835
1964/4/1,1.1,407.5,-4.9,0.8,2,3.49,5.2,3895.793
1964/7/1,1.6,416.4,-3.8,-1,2.2,3.46,5,3956.657
1964/10/1,0.3,419,-0.7,3.5,0.6,3.58,5,3968.878
1965/1/1,2.4,429.7,-1.3,11.2,2.6,3.98,4.9,4064.915
1965/4/1,1.3,436.6,-4.8,2.6,1.6,4.08,4.7,4116.267
1965/7/1,2.2,445.8,-6.4,-0.1,2.1,4.08,4.4,4207.782
1965/10/1,2.3,459.8,-6.1,2.2,3.1,4.17,4.1,4304.731
1966/1/1,2.4,470.1,-5.7,9.4,2.3,4.56,3.9,4409.518
1966/4/1,0.3,475.2,-0.9,7.7,1.1,4.91,3.8,4424.581
1966/7/1,0.8,484.3,-1.7,10.1,1.9,5.41,3.8,4462.053
1966/10/1,0.8,490.1,-1.8,2.8,1.2,5.56,3.7,4498.66
1967/1/1,0.9,494.3,3.6,-13.3,0.9,4.82,3.8,4538.498
1967/4/1,0.1,503.4,0,-17.3,1.8,3.99,3.8,4541.28
1967/7/1,0.9,510.7,-0.9,-2.4,1.4,3.89,3.8,4584.246
1967/10/1,0.8,518.2,2.6,7.2,1.5,4.17,3.9,4618.812
1968/1/1,2,536.3,-4.3,14.8,3.5,4.79,3.7,4713.013
1968/4/1,1.7,550,-4.5,24.9,2.6,5.98,3.6,4791.758
1968/7/1,0.8,566.1,-0.9,-0.6,2.9,5.95,3.5,4828.892
1968/10/1,0.4,574.9,-3.8,-0.5,1.6,5.92,3.4,4847.885
1969/1/1,1.6,587,0,11,2.1,6.57,3.4,4923.76
1969/4/1,0.3,598.4,1,26.8,1.9,8.33,3.4,4938.728
1969/7/1,0.7,608.6,3.9,7.9,1.7,8.98,3.6,4971.349
1969/10/1,-0.5,620.6,0,-0.5,2,8.94,3.6,4947.104
1970/1/1,-0.1,631.7,16.8,-4.1,1.8,8.57,4.2,4939.759
1970/4/1,0.1,641.6,14.4,-8,1.6,7.89,4.8,4946.77
1970/7/1,0.9,653.5,8.4,-15,1.9,6.71,5.2,4992.357
1970/10/1,-1.1,660.2,12.9,-17,1,5.57,5.8,4938.857
1971/1/1,2.7,679.2,1.7,-30.7,2.9,3.86,5.9,5072.996
1971/4/1,0.5,693.2,-0.6,18.4,2.1,4.57,5.9,5100.447
1971/7/1,0.8,705.6,2.3,19.9,1.8,5.48,6,5142.422
1971/10/1,0.2,721.7,-1.7,-13.3,2.3,4.75,5.9,5154.547
1972/1/1,1.8,739,-2.8,-25.3,2.4,3.55,5.8,5249.337
1972/4/1,2.3,757.4,-1.2,21.2,2.5,4.3,5.7,5368.485
1972/7/1,0.9,775.8,-2.3,10.3,2.4,4.74,5.6,5419.184
1972/10/1,1.7,800.5,-3.6,8.5,3.2,5.15,5.4,5509.926
1973/1/1,2.5,825,-8.1,27,3.1,6.54,4.9,5646.286
1973/4/1,1.1,840.5,0,19.6,1.9,7.82,4.9,5707.755
1973/7/1,-0.5,858.9,-2.7,35.1,2.2,10.56,4.8,5677.738
1973/10/1,0.9,873.9,-0.7,-5.3,1.8,10,4.8,5731.632
1974/1/1,-0.9,891.9,7.7,-6.7,2.1,9.32,5.1,5682.353
1974/4/1,0.2,920.4,1.3,20.7,3.2,11.25,5.2,5695.859
1974/7/1,-0.9,949.3,8.3,7.5,3.1,12.09,5.6,5642.025
