Date,PCE,GDPC1,FED,UNEM
1961-01-01,334.5,3255.914,2.00,6.8
1961-04-01,339.5,3311.181,1.73,7.0
1961-07-01,342.4,3374.742,1.68,6.8
1961-10-01,349.6,3440.924,2.40,6.2
1962-01-01,354.9,3502.298,2.46,5.6
1962-04-01,360.5,3533.947,2.61,5.5
1962-07-01,364.4,3577.362,2.85,5.6
1962-10-01,370.6,3589.128,2.92,5.5
1963-01-01,374.3,3628.306,2.97,5.8
1963-04-01,378.4,3669.020,2.96,5.7
1963-07-01,385.4,3749.681,3.33,5.5
1963-10-01,390,3774.264,3.45,5.6
1964-01-01,399.6,3853.835,3.46,5.5
1964-04-01,407.5,3895.793,3.49,5.2
1964-07-01,416.4,3956.657,3.46,5.0
1964-10-01,419,3968.878,3.58,5.0
1965-01-01,429.7,4064.915,3.98,4.9
1965-04-01,436.6,4116.267,4.08,4.7
1965-07-01,445.8,4207.782,4.08,4.4
1965-10-01,459.8,4304.731,4.17,4.1
1966-01-01,470.1,4409.518,4.56,3.9
1966-04-01,475.2,4424.581,4.91,3.8
1966-07-01,484.3,4462.053,5.41,3.8
1966-10-01,490.1,4498.660,5.56,3.7
1967-01-01,494.3,4538.498,4.82,3.8
1967-04-01,503.4,4541.280,3.99,3.8
1967-07-01,510.7,4584.246,3.89,3.8
1967-10-01,518.2,4618.812,4.17,3.9
1968-01-01,536.3,4713.013,4.79,3.7
1968-04-01,550,4791.758,5.98,3.6
1968-07-01,566.1,4828.892,5.95,3.5
1968-10-01,574.9,4847.885,5.92,3.4
1969-01-01,587,4923.760,6.57,3.4
1969-04-01,598.4,4938.728,8.33,3.4
1969-07-01,608.6,4971.349,8.98,3.6
1969-10-01,620.6,4947.104,8.94,3.6
1970-01-01,631.7,4939.759,8.57,4.2
1970-04-01,641.6,4946.770,7.89,4.8
1970-07-01,653.5,4992.357,6.71,5.2
1970-10-01,660.2,4938.857,5.57,5.8
1971-01-01,679.2,5072.996,3.86,5.9
1971-04-01,693.2,5100.447,4.57,5.9
1971-07-01,705.6,5142.422,5.48,6.0
1971-10-01,721.7,5154.547,4.75,5.9
1972-01-01,739,5249.337,3.55,5.8
1972-04-01,757.4,5368.485,4.30,5.7
1972-07-01,775.8,5419.184,4.74,5.6
1972-10-01,800.5,5509.926,5.15,5.4
1973-01-01,825,5646.286,6.54,4.9
1973-04-01,840.5,5707.755,7.82,4.9
1973-07-01,858.9,5677.738,10.56,4.8
1973-10-01,873.9,5731.632,10.00,4.8
1974-01-01,891.9,5682.353,9.32,5.1
1974-04-01,920.4,5695.859,11.25,5.2
1974-07-01,949.3,5642.025,12.09,5.6
1974-10-01,959.1,5620.126,9.35,6.6
1975-01-01,985.2,5551.713,6.30,8.3
1975-04-01,1013.6,5591.382,5.42,8.9
1975-07-01,1047.2,5687.087,6.16,8.5
1975-10-01,1076.3,5763.665,5.41,8.3
1976-01-01,1109.9,5893.276,4.83,7.7
1976-04-01,1129.5,5936.515,5.20,7.6
1976-07-01,1158.8,5969.089,5.28,7.7
1976-10-01,1192.4,6012.356,4.87,7.8
1977-01-01,1228.2,6083.391,4.66,7.5
1977-04-01,1256,6201.659,5.16,7.1
1977-07-01,1286.9,6313.559,5.82,6.9
1977-10-01,1324.8,6313.697,6.51,6.7
1978-01-01,1354,6333.848,6.76,6.3
1978-04-01,1411.4,6578.605,7.28,6.0
1978-07-01,1442.2,6644.754,8.10,6.0
1978-10-01,1481.3,6734.069,9.58,5.9
1979-01-01,1517.1,6746.176,10.07,5.9
1979-04-01,1557.6,6753.389,10.18,5.7
1979-07-01,1611.9,6803.558,10.95,5.9
1979-10-01,1655.1,6820.572,13.58,6.0
1980-01-01,1702.3,6842.024,15.05,6.3
1980-04-01,1704.7,6701.046,12.69,7.3
1980-07-01,1763.8,6693.082,9.84,7.7
1980-10-01,1831.9,6817.903,15.85,7.4
1981-01-01,1885.7,6951.495,16.57,7.4
1981-04-01,1917.6,6899.980,17.78,7.4
1981-07-01,1958.1,6982.609,17.58,7.4
1981-10-01,1974.4,6906.529,13.59,8.2
1982-01-01,2014.1,6799.233,14.23,8.8
1982-04-01,2039.6,6830.251,14.51,9.4
1982-07-01,2085.6,6804.139,11.01,9.9
1982-10-01,2145.6,6806.857,9.29,10.7
1983-01-01,2184.6,6896.561,8.65,10.4
1983-04-01,2249.4,7053.500,8.80,10.1
1983-07-01,2319.9,7194.504,9.46,9.4
1983-10-01,2372.5,7344.597,9.43,8.5
1984-01-01,2418.2,7488.167,9.69,7.9
1984-04-01,2475.9,7617.547,10.56,7.4
1984-07-01,2513.5,7690.985,11.39,7.4
1984-10-01,2561.8,7754.117,9.27,7.3
1985-01-01,2636,7829.260,8.48,7.2
1985-04-01,2681.8,7898.194,7.92,7.3
1985-07-01,2754.2,8018.809,7.90,7.2
1985-10-01,2779.4,8078.415,8.10,7.0
1986-01-01,2823.6,8153.829,7.83,7.0
1986-04-01,2851.5,8190.552,6.92,7.2
1986-07-01,2917.2,8268.935,6.21,7.0
1986-10-01,2952.8,8313.338,6.27,6.8
1987-01-01,2983.5,8375.274,6.22,6.6
1987-04-01,3053.3,8465.630,6.65,6.3
1987-07-01,3117.3,8539.075,6.84,6.0
1987-10-01,3150.9,8685.694,6.92,5.8
1988-01-01,3231.9,8730.569,6.66,5.7
1988-04-01,3291.7,8845.280,7.16,5.5
1988-07-01,3361.9,8897.107,7.98,5.5
1988-10-01,3434.5,9015.661,8.47,5.3
1989-01-01,3490.2,9107.314,9.44,5.2
1989-04-01,3553.8,9176.827,9.73,5.2
1989-07-01,3609.4,9244.816,9.08,5.2
